Num	ber	of r	obot p	asses:					
195									
									
No	*	Row	Col.	X	Y	*	*	*	*
									
									
133	*	18	6	119.5	212.4	*	*	*	*
134	*	17	7	136.1	200.7	*	*	*	*
135	*	18	8	152.7	212.4	*	*	*	*
136	*	17	9	169.3	200.7	*	*	*	*
137	*	18	10	185.9	212.4	*	*	*	*
138	*	17	11	202.5	200.7	*	*	*	*
139	*	18	12	219.1	212.4	*	*	*	*
140	*	17	13	235.7	200.7	*	*	*	*
141	*	18	14	252.3	212.4	*	*	*	*
142	*	17	15	268.9	200.7	*	*	*	*
143	*	18	16	285.5	212.4	*	*	*	*
144	*	17	17	302.1	200.7	*	*	*	*
145	*	19	1	36.5	224.1	*	*	*	*
146	*	20	2	53.1	235.8	*	*	*	*
147	*	19	3	69.7	224.1	*	*	*	*
148	*	20	4	86.3	235.8	*	*	*	*
149	*	19	5	102.9	224.1	*	*	*	*
150	*	20	6	119.5	235.8	*	*	*	*
151	*	19	7	136.1	224.1	*	*	*	*
152	*	20	8	152.7	235.8	*	*	*	*
153	*	19	9	169.3	224.1	*	*	*	*
154	*	20	10	185.9	235.8	*	*	*	*
155	*	19	11	202.5	224.1	*	*	*	*
156	*	20	12	219.1	235.8	*	*	*	*
157	*	19	13	235.7	224.1	*	*	*	*
158	*	20	14	252.3	235.8	*	*	*	*
159	*	19	15	268.9	224.1	*	*	*	*
160	*	20	16	285.5	235.8	*	*	*	*
161	*	19	17	302.1	224.1	*	*	*	*
162	*	21	1	36.5	247.5	*	*	*	*
163	*	22	2	53.1	259.2	*	*	*	*
164	*	21	3	69.7	247.5	*	*	*	*
165	*	22	4	86.3	259.2	*	*	*	*
166	*	21	5	102.9	247.5	*	*	*	*
167	*	22	6	119.5	259.2	*	*	*	*
168	*	21	7	136.1	247.5	*	*	*	*
169	*	22	8	152.7	259.2	*	*	*	*
170	*	21	9	169.3	247.5	*	*	*	*
171	*	22	10	185.9	259.2	*	*	*	*
172	*	21	11	202.5	247.5	*	*	*	*
173	*	22	12	219.1	259.2	*	*	*	*
174	*	21	13	235.7	247.5	*	*	*	*
175	*	22	14	252.3	259.2	*	*	*	*
176	*	21	15	268.9	247.5	*	*	*	*
177	*	22	16	285.5	259.2	*	*	*	*
178	*	21	17	302.1	247.5	*	*	*	*
