Number of robot passes: 
254

No   * Row Col.  X      Y     Put FGr Take Angle
129  0  20  12  284.4  152.61  1   1   1   0    
130  0  19  13  307.7  146.2   1   1   1   0    
131  0  21  1   29.6   160.1   1   1   1   0    
132  0  22  2   52.65  166.51  1   1   1   0    
133  0  21  3   75.95  160.1   1   1   1   0    
134  0  22  4   99     166.51  1   1   1   0    
135  0  21  5   122.3  160.1   1   1   1   0    
136  0  22  6   145.35 166.51  1   1   1   0    
137  0  21  7   168.65 160.1   1   1   1   0    
138  0  22  8   191.7  166.51  1   1   1   0    
139  0  21  9   215    160.1   1   1   1   0    
140  0  22  10  238.05 166.51  1   1   1   0    
141  0  21  11  261.35 160.1   1   1   1   0    
142  0  22  12  284.4  166.51  1   1   1   0    
143  0  21  13  307.7  160.1   1   1   1   0    
144  0  23  1   29.6   174     1   1   1   0    
145  0  24  2   52.65  180.41  1   1   1   0    
146  0  23  3   75.95  174     1   1   1   0    
147  0  24  4   99     180.41  1   1   1   0    
148  0  23  5   122.3  174     1   1   1   0    
149  0  24  6   145.35 180.41  1   1   1   0    
150  0  23  7   168.65 174     1   1   1   0    
151  0  24  8   191.7  180.41  1   1   1   0    
152  0  23  9   215    174     1   1   1   0    
153  0  24  10  238.05 180.41  1   1   1   0    
154  0  23  11  261.35 174     1   1   1   0    
155  0  24  12  284.4  180.41  1   1   1   0    
156  0  23  13  307.7  174     1   1   1   0    
157  0  25  1   29.6   187.9   1   1   1   0    
158  0  26  2   52.65  194.31  1   1   1   0    
159  0  25  3   75.95  187.9   1   1   1   0    
160  0  26  4   99     194.31  1   1   1   0    
161  0  25  5   122.3  187.9   1   1   1   0    
162  0  26  6   145.35 194.31  1   1   1   0    
163  0  25  7   168.65 187.9   1   1   1   0    
164  0  26  8   191.7  194.31  1   1   1   0    
165  0  25  9   215    187.9   1   1   1   0    
166  0  26  10  238.05 194.31  1   1   1   0    
167  0  25  11  261.35 187.9   1   1   1   0    
168  0  26  12  284.4  194.31  1   1   1   0    
169  0  25  13  307.7  187.9   1   1   1   0    
170  0  27  1   29.6   201.8   1   1   1   0    
171  0  28  2   52.65  208.21  1   1   1   0    
172  0  27  3   75.95  201.8   1   1   1   0    
173  0  28  4   99     208.21  1   1   1   0    
174  0  27  5   122.3  201.8   1   1   1   0    
175  0  28  6   145.35 208.21  1   1   1   0    
176  0  27  7   168.65 201.8   1   1   1   0    
177  0  28  8   191.7  208.21  1   1   1   0    
178  0  27  9   215    201.8   1   1   1   0    
179  0  28  10  238.05 208.21  1   1   1   0    
180  0  27  11  261.35 201.8   1   1   1   0    
181  0  28  12  284.4  208.21  1   1   1   0    
182  0  27  13  307.7  201.8   1   1   1   0    
183  0  29  1   29.6   215.7   1   1   1   0    
184  0  30  2   52.65  222.11  1   1   1   0    
185  0  29  3   75.95  215.7   1   1   1   0    
186  0  30  4   99     222.11  1   1   1   0    
187  0  29  5   122.3  215.7   1   1   1   0    
188  0  30  6   145.35 222.11  1   1   1   0    
189  0  29  7   168.65 215.7   1   1   1   0    
190  0  30  8   191.7  222.11  1   1   1   0    
191  0  29  9   215    215.7   1   1   1   0    
192  0  30  10  238.05 222.11  1   1   1   0    
193  0  29  11  261.35 215.7   1   1   1   0    
194  0  30  12  284.4  222.11  1   1   1   0    
195  0  29  13  307.7  215.7   1   1   1   0    
196  0  31  1   29.6   229.6   1   1   1   0    
197  0  32  2   52.65  236.01  1   1   1   0    
