Number of robot passes: 
196

No Area Row Col.  X      Y     Put FGr Take Angle
128  1   10  2   46.05  200     1   1   1   0    
129  1   10  3   68.55  200     1   1   1   0    
130  1   10  4   91.05  200     1   1   1   0    
131  1   10  5   113.55 200     1   1   1   0    
132  1   10  6   136.05 200     1   1   1   0    
133  1   10  7   158.55 200     1   1   1   0    
134  1   10  8   181.05 200     1   1   1   0    
135  1   10  9   203.55 200     1   1   1   0    
136  1   10  10  226.05 200     1   1   1   0    
137  1   10  11  248.55 200     1   1   1   0    
138  1   10  12  271.05 200     1   1   1   0    
139  1   10  13  293.55 200     1   1   1   0    
140  1   10  14  316.05 200     1   1   1   0    
141  1   11  1   23.55  219.6   1   1   1   0    
142  1   11  2   46.05  219.6   1   1   1   0    
143  1   11  3   68.55  219.6   1   1   1   0    
144  1   11  4   91.05  219.6   1   1   1   0    
145  1   11  5   113.55 219.6   1   1   1   0    
146  1   11  6   136.05 219.6   1   1   1   0    
147  1   11  7   158.55 219.6   1   1   1   0    
148  1   11  8   181.05 219.6   1   1   1   0    
149  1   11  9   203.55 219.6   1   1   1   0    
150  1   11  10  226.05 219.6   1   1   1   0    
151  1   11  11  248.55 219.6   1   1   1   0    
152  1   11  12  271.05 219.6   1   1   1   0    
153  1   11  13  293.55 219.6   1   1   1   0    
154  1   11  14  316.05 219.6   1   1   1   0    
155  1   12  1   23.55  239.2   1   1   1   0    
156  1   12  2   46.05  239.2   1   1   1   0    
157  1   12  3   68.55  239.2   1   1   1   0    
158  1   12  4   91.05  239.2   1   1   1   0    
159  1   12  5   113.55 239.2   1   1   1   0    
160  1   12  6   136.05 239.2   1   1   1   0    
161  1   12  7   158.55 239.2   1   1   1   0    
162  1   12  8   181.05 239.2   1   1   1   0    
163  1   12  9   203.55 239.2   1   1   1   0    
164  1   12  10  226.05 239.2   1   1   1   0    
165  1   12  11  248.55 239.2   1   1   1   0    
166  1   12  12  271.05 239.2   1   1   1   0    
167  1   12  13  293.55 239.2   1   1   1   0    
168  1   12  14  316.05 239.2   1   1   1   0    
169  1   13  1   23.55  258.8   1   1   1   0    
170  1   13  2   46.05  258.8   1   1   1   0    
171  1   13  3   68.55  258.8   1   1   1   0    
172  1   13  4   91.05  258.8   1   1   1   0    
173  1   13  5   113.55 258.8   1   1   1   0    
174  1   13  6   136.05 258.8   1   1   1   0    
175  1   13  7   158.55 258.8   1   1   1   0    
176  1   13  8   181.05 258.8   1   1   1   0    
177  1   13  9   203.55 258.8   1   1   1   0    
178  1   13  10  226.05 258.8   1   1   1   0    
179  1   13  11  248.55 258.8   1   1   1   0    
180  1   13  12  271.05 258.8   1   1   1   0    
181  1   13  13  293.55 258.8   1   1   1   0    
182  1   13  14  316.05 258.8   1   1   1   0    
183  1   14  1   23.55  278.4   1   1   1   0    
184  1   14  2   46.05  278.4   1   1   1   0    
185  1   14  3   68.55  278.4   1   1   1   0    
186  1   14  4   91.05  278.4   1   1   1   0    
187  1   14  5   113.55 278.4   1   1   1   0    
188  1   14  6   136.05 278.4   1   1   1   0    
189  1   14  7   158.55 278.4   1   1   1   0    
190  1   14  8   181.05 278.4   1   1   1   0    
191  1   14  9   203.55 278.4   1   1   1   0    
192  1   14  10  226.05 278.4   1   1   1   0    
193  1   14  11  248.55 278.4   1   1   1   0    
194  1   14  12  271.05 278.4   1   1   1   0    
195  1   14  13  293.55 278.4   1   1   1   0    
196  1   14  14  316.05 278.4   1   1   1   0    
