Order Name,Measure Result,Insert Counter,Time
W0804_CC,4.88600015640259,226,08:35
W0804_CC,4.88399982452393,257,08:37
W0804_CC,4.89099979400635,287,08:38
W0804_CC,4.88899993896485,313,08:58
W0804_CC,4.88800001144409,341,08:59
W0804_CC,4.88000011444092,366,09:00
W0804_CC,4.88000011444092,393,09:01
W0804_CC,4.87599992752075,417,09:02
W0804_CC,4.88500022888184,443,09:04
W0804_CC,4.87799978256226,465,09:05
W0804_CC,4.87900018692017,491,09:06
W0804_CC,4.87699985504151,517,09:07
W0804_CC,4.89799976348877,540,09:08
W0804_CC,4.89499998092652,566,09:09
W0804_CC,4.89499998092652,591,09:10
W0804_CC,4.90000009536743,617,09:12
W0804_CC,4.90700006484986,643,09:13
W0804_CC,4.89599990844727,667,09:14
W0804_CC,4.90000009536743,691,09:15
W0804_CC,4.89900016784668,715,09:16
W0804_CC,4.89599990844727,740,09:18
W0804_CC,4.90799999237061,767,09:19
W0804_CC,4.90700006484986,792,09:20
W0804_CC,4.90299987792969,816,09:21
W0804_CC,4.90000009536743,843,09:22
W0804_CC,4.90000009536743,868,09:23
W0804_CC,4.89699983596802,889,09:25
W0804_CC,4.90899991989136,914,09:26
W0804_CC,4.90000009536743,942,09:27
W0804_CC,4.90399980545044,966,09:28
W0804_CC,4.89900016784668,990,09:29
W0804_CC,4.90399980545044,1016,09:30
W0804_CC,4.89799976348877,1041,09:31
W0804_CC,4.90700006484986,1068,09:33
W0804_CC,4.90000009536743,1090,09:34
W0804_CC,4.89900016784668,1110,09:36
W0804_CC,4.89699983596802,1140,09:37
W0804_CC,4.89900016784668,1164,09:39
W0804_CC,4.89699983596802,1192,09:40
W0804_CC,4.90700006484986,1218,09:45
W0804_CC,4.90100002288819,1243,09:46
W0804_CC,4.90500020980835,1267,09:47
W0804_CC,4.90199995040894,1292,09:48
W0804_CC,4.89599990844727,1317,09:49
