Order Name,Measure Result,Insert Counter,Time
Test Tungaloy,61.5719985961914,664,08:55
Test Tungaloy,61.5579986572266,665,08:57
Test Tungaloy,61.5579986572266,665,08:58
Test Tungaloy,4.75099992752075,665,09:00
Test Tungaloy,4.75099992752075,699,09:28
Test Tungaloy,4.74700021743775,723,09:29
Test Tungaloy,4.75099992752075,771,09:52
Test Tungaloy,4.75199985504151,792,09:54
Test Tungaloy,4.75799989700318,812,09:55
Test Tungaloy,4.75699996948242,832,09:55
Test Tungaloy,4.76300001144409,849,09:56
Test Tungaloy,4.75500011444092,874,09:58
Test Tungaloy,4.76700019836426,885,14:14
Test Tungaloy,4.76200008392334,896,14:15
Test Tungaloy,4.76200008392334,912,14:16
Test Tungaloy,4.7649998664856,925,14:17
Test Tungaloy,4.77099990844727,950,14:18
Test Tungaloy,4.76999998092652,981,14:19
Test Tungaloy,4.77899980545044,1011,14:20
Test Tungaloy,4.77400016784668,1032,14:21
Test Tungaloy,4.77299976348877,1050,14:33
Test Tungaloy,4.77500009536743,1072,14:34
Test Tungaloy,4.77799987792969,1092,14:35
Test Tungaloy,4.77500009536743,1111,14:36
Test Tungaloy,4.77899980545044,1134,14:46
Test Tungaloy,4.78000020980835,1149,14:47
Test Tungaloy,4.77799987792969,1171,14:48
Test Tungaloy,4.77799987792969,1191,14:49
Test Tungaloy,4.77699995040894,1211,14:50
Test Tungaloy,4.77899980545044,1232,14:51
