Num	ber	of r	obot p	asses:					
195									
									
No	*	Row	Col.	X	Y	*	*	*	*
									
									
137	*	18	10	185.9	219.5	*	*	*	*
138	*	17	11	202.5	208	*	*	*	*
139	*	18	12	219.1	219.5	*	*	*	*
140	*	17	13	235.7	208	*	*	*	*
141	*	18	14	252.3	219.5	*	*	*	*
142	*	17	15	268.9	208	*	*	*	*
143	*	18	16	285.5	219.5	*	*	*	*
144	*	17	17	302.1	208	*	*	*	*
145	*	19	1	36.5	231	*	*	*	*
146	*	20	2	53.1	242.5	*	*	*	*
147	*	19	3	69.7	231	*	*	*	*
148	*	20	4	86.3	242.5	*	*	*	*
149	*	19	5	102.9	231	*	*	*	*
150	*	20	6	119.5	242.5	*	*	*	*
151	*	19	7	136.1	231	*	*	*	*
152	*	20	8	152.7	242.5	*	*	*	*
153	*	19	9	169.3	231	*	*	*	*
154	*	20	10	185.9	242.5	*	*	*	*
155	*	19	11	202.5	231	*	*	*	*
156	*	20	12	219.1	242.5	*	*	*	*
157	*	19	13	235.7	231	*	*	*	*
158	*	20	14	252.3	242.5	*	*	*	*
159	*	19	15	268.9	231	*	*	*	*
160	*	20	16	285.5	242.5	*	*	*	*
161	*	19	17	302.1	231	*	*	*	*
162	*	21	1	36.5	254	*	*	*	*
163	*	22	2	53.1	265.5	*	*	*	*
164	*	21	3	69.7	254	*	*	*	*
165	*	22	4	86.3	265.5	*	*	*	*
166	*	21	5	102.9	254	*	*	*	*
167	*	22	6	119.5	265.5	*	*	*	*
168	*	21	7	136.1	254	*	*	*	*
169	*	22	8	152.7	265.5	*	*	*	*
170	*	21	9	169.3	254	*	*	*	*
171	*	22	10	185.9	265.5	*	*	*	*
172	*	21	11	202.5	254	*	*	*	*
173	*	22	12	219.1	265.5	*	*	*	*
174	*	21	13	235.7	254	*	*	*	*
175	*	22	14	252.3	265.5	*	*	*	*
176	*	21	15	268.9	254	*	*	*	*
177	*	22	16	285.5	265.5	*	*	*	*
178	*	21	17	302.1	254	*	*	*	*
179	*	23	1	36.5	277	*	*	*	*
180	*	24	2	53.1	288.5	*	*	*	*
181	*	23	3	69.7	277	*	*	*	*
182	*	24	4	86.3	288.5	*	*	*	*
183	*	23	5	102.9	277	*	*	*	*
184	*	24	6	119.5	288.5	*	*	*	*
185	*	23	7	136.1	277	*	*	*	*
186	*	24	8	152.7	288.5	*	*	*	*
187	*	23	9	169.3	277	*	*	*	*
188	*	24	10	185.9	288.5	*	*	*	*
189	*	23	11	202.5	277	*	*	*	*
190	*	24	12	219.1	288.5	*	*	*	*
191	*	23	13	235.7	277	*	*	*	*
192	*	24	14	252.3	288.5	*	*	*	*
193	*	23	15	268.9	277	*	*	*	*
194	*	24	16	285.5	288.5	*	*	*	*
195	*	23	17	302.1	277	*	*	*	*
